var_name,split_list,sub_total_sample_num,positive_sample_num,negative_sample_num,sub_total_num_percentage,positive_rate_in_sub_total,woe_list,iv_list,iv
msk_mth_since_last_limit_review,"(-INF,19.0]",1866,135,1731,0.5493082131292317,0.07234726688102894,0.22047168874441797,0.02944517662761135,0.12461940458949083
msk_mth_since_last_limit_review,"(19.0,32.0]",430,18,412,0.12658227848101267,0.04186046511627907,-0.35899549611985043,0.013954279746031547,0.12461940458949083
msk_mth_since_last_limit_review,"(32.0,43.0]",222,16,206,0.06535178098322049,0.07207207207207207,0.21636910050569846,0.0033677981452176,0.12461940458949083
msk_mth_since_last_limit_review,"(43.0,59.0]",358,13,345,0.10538710627023845,0.036312849162011177,-0.506936874634942,0.02175428366300726,0.12461940458949083
msk_mth_since_last_limit_review,"(59.0,75.0]",193,10,183,0.056814836620547544,0.05181347150259067,-0.1352408238335083,0.0009792375393716621,0.12461940458949083
msk_mth_since_last_limit_review,"(75.0,+INF)",328,8,320,0.09655578451574919,0.024390243902439025,-0.9172164841802068,0.05511862886825141,0.12461940458949083
msk_age,"(-INF,30.5]",353,25,328,0.10391521931115691,0.0708215297450425,0.19751669410985953,0.0044252202672457955,0.05176807040748404
msk_age,"(30.5,65.5]",2873,172,2701,0.8457462466882544,0.05986773407587887,0.01776844990449818,0.0002691194777597701,0.05176807040748404
msk_age,"(65.5,+INF)",171,3,168,0.050338534000588755,0.017543859649122806,-1.2536681706834725,0.047073730662478476,0.05176807040748404
msk_bank_tenor,"(-INF,69.0]",300,21,279,0.08831321754489255,0.07,0.1849658418844115,0.0032796577787087694,0.1711758020313527
msk_bank_tenor,"(69.0,111.46000000000004]",217,9,208,0.06387989402413895,0.041474654377880185,-0.368652089573026,0.0073953548137659685,0.1711758020313527
msk_bank_tenor,"(111.46000000000004,156.0]",317,30,287,0.0933176332057698,0.0946372239747634,0.513368933310122,0.0309195988089492,0.1711758020313527
msk_bank_tenor,"(156.0,192.0]",204,8,196,0.060052987930526935,0.0392156862745098,-0.4270103453209524,0.009098312432987431,0.1711758020313527
msk_bank_tenor,"(192.0,210.0]",170,12,158,0.05004415660877245,0.07058823529411765,0.19397009966025744,0.0020520361071955724,0.1711758020313527
msk_bank_tenor,"(210.0,239.0]",295,27,268,0.086841330585811,0.09152542372881356,0.4765039985678635,0.024383605157007035,0.1711758020313527
msk_bank_tenor,"(239.0,256.0]",196,5,191,0.057697968795996465,0.025510204081632654,-0.8711652568607945,0.03026693007966073,0.1711758020313527
msk_bank_tenor,"(256.0,268.0]",181,11,170,0.05328230791875184,0.06077348066298342,0.033756120892561345,6.1625758196826e-05,0.1711758020313527
msk_bank_tenor,"(268.0,286.0]",249,10,239,0.07329997056226081,0.040160642570281124,-0.4022180948856143,0.009957760239718859,0.1711758020313527
msk_bank_tenor,"(286.0,301.0]",180,16,164,0.05298793052693553,0.08888888888888889,0.4443787171519447,0.012754725363581514,0.1711758020313527
msk_bank_tenor,"(301.0,326.0]",303,15,288,0.08919634972034148,0.04950495049504951,-0.18325317709964836,0.0027641882579745557,0.1711758020313527
msk_bank_tenor,"(326.0,344.0799999999999]",174,11,163,0.05122166617603768,0.06321839080459771,0.07580433187443744,0.0003043672794493959,0.1711758020313527
msk_bank_tenor,"(344.0799999999999,383.1]",312,9,303,0.09184574624668826,0.028846153846153848,-0.7448466646449106,0.03707540125916198,0.1711758020313527
msk_bank_tenor,"(383.1,+INF)",299,16,283,0.08801884015307625,0.05351170568561873,-0.1012014962680107,0.000862238694994823,0.1711758020313527
