msk_mth_since_last_limit_review,msk_age,msk_bank_tenor,target
19.0,60.5,157.0,0
11.0,38.0,15.0,0
55.0,43.0,333.0,0
13.0,28.5,150.0,0
29.0,43.5,336.0,0
1.0,54.0,129.0,0
8.0,41.5,26.0,0
20.0,40.5,173.0,0
40.0,48.0,173.0,0
1.0,59.5,351.0,0
46.0,33.5,211.0,0
52.0,33.0,201.0,0
9.0,46.5,306.0,0
67.0,42.0,262.0,0
5.0,27.5,134.0,0
34.0,57.0,315.0,1
33.0,34.0,198.0,0
3.0,41.5,276.0,0
17.0,38.0,99.0,0
4.0,63.0,236.0,0
19.0,33.0,117.0,0
68.0,39.0,256.0,0
48.0,35.5,52.0,1
46.0,43.0,289.0,0
15.0,62.5,368.0,0
0.0,37.0,131.0,0
29.0,55.0,397.0,0
66.0,34.0,196.0,0
45.0,43.0,309.0,0
56.0,51.0,389.0,0
19.0,57.0,116.0,0
18.0,35.5,235.0,0
28.0,26.0,45.0,0
30.0,36.0,235.0,0
0.0,37.0,236.0,1
11.0,29.0,46.0,0
17.0,51.0,73.0,0
1.0,60.0,329.0,0
0.0,40.5,260.0,0
1.0,34.5,254.0,0
25.0,56.5,308.0,0
16.0,35.5,269.0,0
15.0,47.0,333.0,0
5.0,51.0,209.0,0
11.0,32.0,85.0,0
7.0,31.0,145.0,0
50.0,36.0,234.0,0
3.0,57.0,414.0,0
1.0,44.0,386.0,0
18.0,30.0,150.0,1
14.0,63.0,400.0,0
6.0,43.0,73.0,0
9.0,30.5,43.0,0
2.0,32.0,214.0,0
9.0,37.0,257.0,0
33.0,41.0,284.0,0
3.0,36.5,89.0,0
3.0,27.0,10.0,0
2.0,32.0,186.0,0
15.0,35.0,199.0,0
19.0,49.0,252.0,0
15.0,47.0,277.0,0
11.0,26.0,161.0,0
10.0,30.0,209.0,0
46.0,54.0,422.0,0
9.0,32.5,165.0,0
16.0,45.5,58.0,0
13.0,42.0,322.0,0
18.0,49.0,340.0,0
59.0,31.0,222.0,0
13.0,25.0,153.0,0
178.0,65.0,183.0,0
50.0,47.5,256.0,0
1.0,39.5,283.0,0
65.0,28.5,146.0,0
91.0,53.0,343.0,0
24.0,66.0,373.0,0
2.0,51.5,292.0,0
54.0,36.0,228.0,0
99.0,61.5,439.0,0
74.0,53.5,116.0,0
9.0,60.0,129.0,0
88.0,54.0,324.0,0
57.0,54.0,237.0,0
87.0,60.5,322.0,0
11.0,26.0,159.0,0
24.0,25.5,67.0,0
67.0,51.5,347.0,0
16.0,34.0,259.0,0
24.0,48.0,264.0,0
108.0,46.0,211.0,0
51.0,40.5,399.0,0
1.0,37.5,6.0,0
74.0,58.0,256.0,0
19.0,50.5,364.0,0
56.0,65.5,349.0,0
64.0,56.0,244.0,0
114.0,47.0,276.0,0
32.0,58.0,64.0,0
15.0,31.0,113.0,0
54.0,40.5,132.0,0
80.0,31.0,84.0,0
32.0,53.0,206.0,0
61.0,56.5,379.0,0
2.0,35.0,167.0,0
19.0,57.5,298.0,0
54.0,69.5,322.0,0
19.0,35.0,197.0,0
19.0,59.0,362.0,0
6.0,59.5,18.0,0
19.0,58.0,321.0,0
19.0,59.0,291.0,0
21.0,31.0,227.0,0
13.0,36.5,265.0,0
9.0,59.5,423.0,0
1.0,37.5,260.0,0
56.0,58.5,277.0,0
4.0,33.5,171.0,0
64.0,63.0,295.0,0
12.0,57.0,278.0,0
27.0,57.0,50.0,0
0.0,66.0,320.0,0
14.0,40.0,293.0,0
34.0,28.0,77.0,0
5.0,47.0,341.0,0
49.0,67.5,182.0,0
51.0,68.0,397.0,0
19.0,81.0,425.0,0
57.0,43.0,152.0,0
56.0,39.0,234.0,0
19.0,51.5,329.0,0
91.0,31.0,187.0,0
10.0,40.0,269.0,0
97.0,40.0,293.0,0
22.0,32.5,197.0,0
48.0,66.0,57.0,0
2.0,37.0,235.0,0
45.0,34.0,114.0,0
0.0,38.0,223.0,1
3.0,27.0,132.0,0
25.0,42.5,32.0,0
123.0,55.0,324.0,0
48.0,42.5,307.0,0
18.0,52.5,339.0,0
129.0,40.5,254.0,0
19.0,29.0,39.0,0
19.0,45.0,281.0,0
60.0,51.5,316.0,0
26.0,40.0,277.0,0
81.0,50.0,273.0,0
4.0,42.5,227.0,0
68.0,46.0,317.0,0
0.0,46.0,290.0,0
5.0,35.0,251.0,0
71.0,45.0,282.0,0
35.0,34.5,122.0,0
1.0,67.0,93.0,0
19.0,28.0,120.0,1
19.0,29.0,109.0,0
31.0,31.0,36.0,0
26.0,56.0,331.0,0
28.0,64.0,181.0,0
76.0,47.5,306.0,0
11.0,53.0,359.0,0
5.0,52.0,54.0,0
145.0,67.0,408.0,0
44.0,64.0,362.0,0
37.0,36.0,221.0,0
0.0,31.0,87.0,0
14.0,33.0,158.0,0
192.0,59.0,427.0,0
19.0,32.0,195.0,1
102.0,54.5,317.0,1
24.0,38.0,86.0,0
22.0,44.5,286.0,0
9.0,42.0,67.0,0
19.0,62.0,332.0,0
9.0,32.0,34.0,0
119.0,38.0,271.0,0
15.0,34.0,194.0,0
155.0,53.0,282.0,0
62.0,30.0,216.0,0
40.0,63.5,310.0,0
0.0,66.0,61.0,0
2.0,22.0,39.0,0
35.0,50.0,226.0,0
125.0,61.5,360.0,0
19.0,43.0,198.0,1
0.0,38.0,210.0,0
2.0,60.0,393.0,0
65.0,49.0,306.0,0
36.0,40.5,99.0,1
13.0,30.0,134.0,0
53.0,40.0,288.0,0
19.0,42.0,320.0,0
2.0,45.0,273.0,0
18.0,47.0,267.0,0
3.0,50.0,256.0,0
67.0,46.0,307.0,0
4.0,47.0,182.0,0
1.0,42.0,44.0,0
11.0,56.0,347.0,1
7.0,72.5,78.0,0
44.0,36.0,248.0,0
27.0,60.0,380.0,0
179.0,51.0,328.0,0
19.0,50.0,221.0,0
0.0,33.0,184.0,0
8.0,34.0,267.0,1
14.0,49.0,127.0,0
11.0,45.5,212.0,1
47.0,47.0,169.0,0
4.0,38.5,258.0,0
20.0,43.0,231.0,0
7.0,62.5,369.0,0
3.0,25.5,72.0,0
0.0,47.0,251.0,0
14.0,57.5,38.0,0
10.0,50.5,358.0,0
14.0,46.0,53.0,0
3.0,32.0,197.0,0
130.0,40.5,301.0,0
2.0,50.0,355.0,0
13.0,48.0,306.0,0
13.0,34.0,195.0,0
157.0,53.0,195.0,0
1.0,29.0,140.0,1
57.0,65.0,347.0,0
30.0,38.0,232.0,0
18.0,25.0,146.0,0
49.0,62.0,420.0,0
1.0,35.0,227.0,0
5.0,40.0,325.0,0
19.0,49.0,394.0,1
102.0,64.0,390.0,0
46.0,36.0,238.0,1
59.0,29.0,79.0,0
22.0,44.0,333.0,0
16.0,35.5,221.0,1
43.0,32.0,231.0,0
50.0,46.0,260.0,0
12.0,44.0,308.0,0
4.0,55.0,288.0,0
16.0,42.5,328.0,0
8.0,51.0,346.0,0
3.0,25.0,68.0,0
128.0,48.0,143.0,0
93.0,43.0,310.0,0
26.0,30.0,80.0,0
66.0,31.0,148.0,0
12.0,42.5,307.0,0
51.0,37.0,257.0,1
49.0,60.5,266.0,0
19.0,26.0,97.0,0
75.0,53.0,397.0,0
5.0,50.5,252.0,0
10.0,41.0,14.0,0
26.0,32.0,196.0,0
5.0,33.0,188.0,0
6.0,30.5,72.0,0
2.0,26.5,122.0,0
2.0,36.5,220.0,0
19.0,35.0,216.0,0
2.0,41.0,375.0,0
4.0,38.0,263.0,0
62.0,63.5,309.0,0
78.0,81.0,445.0,0
2.0,30.0,125.0,0
1.0,25.0,72.0,0
133.0,61.0,407.0,0
58.0,36.0,94.0,0
50.0,41.5,308.0,0
21.0,50.0,283.0,0
13.0,29.0,211.0,0
66.0,62.5,274.0,0
35.0,50.5,272.0,0
4.0,72.0,416.0,0
9.0,41.0,283.0,0
69.0,45.0,314.0,0
5.0,34.0,221.0,0
3.0,41.5,185.0,0
102.0,41.0,226.0,0
12.0,40.0,249.0,0
14.0,35.5,210.0,0
27.0,31.0,157.0,0
50.0,36.5,238.0,0
16.0,47.5,364.0,0
19.0,34.0,109.0,0
14.0,51.0,290.0,0
2.0,27.0,120.0,0
58.0,66.0,288.0,0
19.0,54.5,326.0,0
3.0,42.0,176.0,0
19.0,35.0,196.0,0
8.0,25.5,73.0,0
0.0,60.0,349.0,0
8.0,48.0,16.0,0
34.0,46.0,114.0,0
147.0,60.5,359.0,0
21.0,44.0,282.0,0
65.0,43.0,271.0,0
4.0,40.5,231.0,0
42.0,65.0,44.0,0
19.0,44.0,258.0,0
21.0,37.0,283.0,0
30.0,40.5,196.0,0
19.0,27.0,124.0,0
30.0,43.5,222.0,0
25.0,53.0,91.0,0
69.0,53.0,329.0,1
0.0,37.0,245.0,0
21.0,31.0,135.0,0
65.0,57.5,287.0,0
11.0,39.0,322.0,0
18.0,35.0,99.0,0
0.0,43.0,213.0,0
5.0,51.0,8.0,0
116.0,58.5,206.0,0
11.0,57.5,327.0,0
19.0,44.0,122.0,0
100.0,59.0,297.0,0
1.0,55.0,385.0,0
42.0,52.0,77.0,0
103.0,61.5,344.0,0
8.0,53.0,365.0,0
4.0,30.5,152.0,0
53.0,54.0,326.0,0
1.0,48.5,290.0,0
74.0,47.0,426.0,0
28.0,39.0,284.0,0
2.0,45.5,239.0,1
25.0,63.0,349.0,0
69.0,33.0,153.0,0
4.0,35.0,226.0,0
8.0,34.0,264.0,0
82.0,55.0,325.0,0
45.0,36.5,237.0,0
8.0,37.5,277.0,0
77.0,34.5,220.0,0
8.0,51.5,77.0,0
3.0,37.0,225.0,0
4.0,52.5,274.0,0
34.0,50.0,335.0,0
0.0,36.0,88.0,0
19.0,36.0,106.0,0
9.0,33.0,150.0,0
84.0,50.0,293.0,0
21.0,36.0,22.0,0
5.0,63.0,397.0,0
56.0,57.0,198.0,0
25.0,42.5,286.0,0
18.0,35.5,198.0,1
9.0,52.0,263.0,0
12.0,44.0,256.0,0
11.0,55.0,199.0,0
49.0,33.0,148.0,0
0.0,34.0,222.0,0
0.0,63.0,293.0,0
59.0,47.0,294.0,0
23.0,47.5,334.0,0
19.0,41.5,73.0,0
0.0,40.0,283.0,0
2.0,35.0,201.0,0
19.0,23.0,76.0,0
19.0,61.0,373.0,0
22.0,62.0,434.0,0
1.0,36.5,283.0,0
9.0,43.0,190.0,0
2.0,31.0,213.0,0
19.0,58.0,302.0,0
1.0,33.5,190.0,0
135.0,67.0,302.0,0
19.0,42.5,154.0,1
68.0,59.5,347.0,0
21.0,50.0,318.0,0
26.0,59.0,265.0,0
41.0,40.0,272.0,0
21.0,62.5,453.0,0
51.0,56.0,353.0,0
9.0,45.5,370.0,0
7.0,25.5,98.0,0
19.0,29.5,70.0,0
64.0,73.0,190.0,0
47.0,47.5,305.0,0
151.0,48.5,381.0,0
13.0,44.5,256.0,0
2.0,65.0,389.0,0
6.0,53.0,319.0,0
56.0,43.0,59.0,0
34.0,57.0,372.0,0
61.0,65.5,288.0,0
19.0,44.0,321.0,0
22.0,60.0,195.0,1
58.0,49.5,75.0,0
19.0,52.0,384.0,0
40.0,33.0,182.0,0
32.0,52.0,279.0,0
56.0,44.5,331.0,0
76.0,34.0,249.0,0
3.0,40.5,246.0,0
118.0,56.0,256.0,0
6.0,29.0,12.0,0
56.0,45.0,292.0,0
5.0,21.5,40.0,0
59.0,36.5,270.0,0
22.0,59.0,217.0,0
76.0,45.5,408.0,0
12.0,51.0,305.0,0
39.0,29.0,70.0,0
24.0,34.5,210.0,0
124.0,58.0,322.0,0
100.0,40.0,258.0,0
6.0,41.5,145.0,0
75.0,68.0,209.0,0
48.0,58.0,258.0,0
3.0,25.0,122.0,0
35.0,60.0,354.0,0
19.0,44.0,101.0,0
2.0,37.0,235.0,0
7.0,57.0,83.0,0
13.0,26.0,92.0,0
2.0,29.0,150.0,1
18.0,34.5,70.0,0
2.0,39.0,215.0,0
69.0,38.0,261.0,0
7.0,51.0,361.0,0
23.0,40.5,26.0,0
1.0,33.5,187.0,0
56.0,35.5,219.0,0
16.0,40.5,135.0,0
11.0,42.0,350.0,0
35.0,64.0,330.0,0
10.0,60.0,288.0,0
23.0,46.0,300.0,0
5.0,78.5,298.0,0
3.0,36.0,251.0,0
13.0,53.5,274.0,0
11.0,45.0,295.0,0
6.0,45.5,191.0,0
4.0,47.0,98.0,0
19.0,49.0,161.0,0
19.0,38.0,253.0,0
3.0,35.0,151.0,1
64.0,52.0,226.0,0
9.0,38.0,244.0,0
0.0,38.0,280.0,0
9.0,46.0,269.0,0
7.0,61.0,198.0,0
64.0,46.0,403.0,0
46.0,33.0,209.0,0
22.0,37.0,25.0,0
89.0,45.5,122.0,0
11.0,55.0,112.0,0
1.0,47.0,258.0,0
15.0,63.0,158.0,0
16.0,45.5,130.0,0
24.0,29.5,52.0,0
56.0,49.5,248.0,0
26.0,39.0,262.0,0
30.0,68.0,391.0,0
9.0,59.0,294.0,0
62.0,32.0,193.0,0
0.0,50.5,338.0,0
37.0,32.0,165.0,0
4.0,35.5,287.0,1
23.0,73.0,322.0,0
10.0,48.0,318.0,0
30.0,34.5,207.0,0
12.0,36.0,77.0,0
67.0,45.0,175.0,0
57.0,64.0,437.0,0
37.0,69.0,301.0,0
24.0,33.5,241.0,0
2.0,33.5,209.0,0
19.0,43.0,139.0,0
6.0,33.0,43.0,0
11.0,45.5,395.0,0
13.0,39.5,246.0,0
30.0,32.0,145.0,0
37.0,31.0,153.0,0
19.0,32.0,201.0,1
102.0,53.0,360.0,0
0.0,39.5,247.0,0
133.0,57.0,369.0,0
12.0,47.0,121.0,1
66.0,32.0,199.0,0
48.0,59.0,375.0,0
6.0,46.5,11.0,0
58.0,44.0,328.0,0
8.0,36.0,302.0,0
17.0,33.0,234.0,0
47.0,59.0,238.0,0
8.0,56.0,399.0,1
34.0,52.0,418.0,0
2.0,26.0,74.0,0
10.0,49.5,400.0,0
14.0,33.0,219.0,0
78.0,40.5,258.0,0
48.0,66.0,466.0,0
19.0,53.0,278.0,0
0.0,43.0,191.0,0
12.0,69.0,393.0,0
26.0,37.0,277.0,1
45.0,34.0,216.0,0
2.0,39.0,263.0,0
12.0,55.0,382.0,0
8.0,30.0,160.0,0
19.0,53.0,70.0,0
8.0,41.0,276.0,0
23.0,55.0,427.0,0
13.0,55.0,100.0,0
32.0,39.5,325.0,0
0.0,31.0,97.0,0
19.0,47.5,318.0,0
1.0,55.0,424.0,0
14.0,54.0,254.0,0
30.0,42.0,261.0,1
74.0,62.0,281.0,0
0.0,51.5,290.0,0
92.0,34.0,246.0,0
49.0,66.0,286.0,0
10.0,36.5,167.0,0
38.0,35.0,235.0,0
17.0,31.0,105.0,0
139.0,46.0,239.0,0
131.0,55.0,284.0,0
76.0,48.0,352.0,0
19.0,61.0,376.0,0
19.0,44.0,345.0,0
2.0,57.0,369.0,0
13.0,49.5,212.0,0
175.0,40.0,220.0,0
24.0,56.0,391.0,0
19.0,37.0,258.0,0
99.0,36.0,275.0,0
6.0,64.5,345.0,0
19.0,57.5,360.0,0
7.0,29.5,11.0,0
26.0,42.5,297.0,0
19.0,27.0,114.0,0
3.0,30.5,122.0,0
6.0,50.0,8.0,0
19.0,43.0,75.0,0
18.0,36.5,302.0,0
19.0,24.5,39.0,0
41.0,50.0,373.0,0
4.0,36.5,220.0,0
49.0,34.0,235.0,0
12.0,46.0,293.0,0
25.0,37.0,134.0,1
17.0,50.0,238.0,0
29.0,38.0,284.0,0
27.0,64.0,362.0,0
49.0,56.5,347.0,0
62.0,41.0,307.0,0
12.0,46.0,239.0,0
26.0,34.0,31.0,0
1.0,30.0,173.0,0
45.0,66.0,334.0,0
18.0,40.0,223.0,0
11.0,46.5,22.0,0
19.0,45.0,299.0,0
115.0,57.0,334.0,0
7.0,28.0,9.0,0
2.0,31.5,213.0,0
19.0,32.0,47.0,0
115.0,41.0,282.0,0
23.0,59.0,138.0,0
37.0,29.0,61.0,0
40.0,48.0,385.0,0
10.0,58.0,415.0,0
16.0,35.0,280.0,0
19.0,56.5,432.0,0
35.0,42.5,363.0,0
138.0,36.0,271.0,0
24.0,27.5,92.0,0
13.0,54.0,379.0,0
19.0,38.0,245.0,0
136.0,53.0,276.0,0
6.0,47.0,11.0,0
28.0,34.0,148.0,0
44.0,56.0,418.0,0
17.0,39.0,236.0,0
13.0,38.0,271.0,0
12.0,57.5,279.0,0
2.0,33.0,168.0,0
4.0,27.0,86.0,0
22.0,64.0,38.0,0
17.0,63.0,189.0,0
9.0,41.0,271.0,0
14.0,27.5,148.0,0
1.0,50.5,360.0,0
1.0,42.0,118.0,0
20.0,30.5,50.0,0
31.0,55.0,337.0,0
13.0,56.0,282.0,0
62.0,41.0,128.0,0
44.0,31.5,51.0,0
17.0,52.5,374.0,0
33.0,32.0,38.0,0
8.0,63.5,24.0,0
0.0,53.0,420.0,1
16.0,57.0,261.0,0
11.0,53.5,237.0,0
12.0,64.5,191.0,0
1.0,49.0,221.0,0
143.0,67.0,334.0,0
119.0,70.0,368.0,0
15.0,40.0,70.0,0
7.0,37.0,20.0,0
10.0,33.0,79.0,0
40.0,25.0,60.0,0
19.0,29.5,129.0,0
2.0,40.5,31.0,0
20.0,32.5,97.0,0
67.0,62.0,292.0,0
66.0,53.0,256.0,0
19.0,38.0,247.0,0
5.0,54.0,388.0,0
45.0,57.0,274.0,0
15.0,43.0,338.0,0
19.0,53.0,268.0,0
25.0,38.0,268.0,0
2.0,45.5,356.0,0
23.0,43.0,338.0,0
19.0,57.0,275.0,0
11.0,33.0,25.0,0
36.0,40.0,96.0,0
2.0,53.0,382.0,0
0.0,56.0,418.0,0
58.0,46.0,207.0,0
11.0,42.0,248.0,0
2.0,31.0,151.0,0
2.0,67.0,230.0,0
19.0,37.0,258.0,0
31.0,71.0,52.0,0
19.0,40.5,258.0,0
7.0,43.5,11.0,0
169.0,42.5,312.0,0
1.0,30.5,117.0,0
1.0,58.0,428.0,0
38.0,64.0,329.0,0
34.0,35.0,237.0,0
34.0,67.5,390.0,0
19.0,56.0,418.0,0
20.0,39.0,217.0,0
46.0,52.0,346.0,0
19.0,51.0,419.0,0
18.0,45.5,389.0,0
62.0,40.0,293.0,0
5.0,65.5,336.0,0
17.0,33.0,212.0,0
4.0,43.0,103.0,0
19.0,30.0,146.0,0
136.0,69.0,272.0,0
177.0,49.5,347.0,0
1.0,43.5,303.0,0
6.0,36.0,184.0,0
0.0,47.0,142.0,0
1.0,58.5,39.0,0
3.0,52.0,387.0,0
22.0,39.0,254.0,0
28.0,50.0,41.0,0
1.0,47.0,380.0,0
13.0,62.5,397.0,0
80.0,35.5,209.0,0
9.0,55.0,350.0,0
169.0,57.5,419.0,0
16.0,59.0,206.0,0
14.0,42.0,19.0,0
19.0,46.5,284.0,0
13.0,53.0,320.0,0
24.0,35.0,195.0,0
45.0,31.0,185.0,0
19.0,33.0,217.0,0
76.0,31.0,195.0,0
71.0,67.5,331.0,0
46.0,41.0,283.0,0
3.0,33.0,251.0,0
23.0,55.0,358.0,0
0.0,36.0,38.0,0
45.0,58.0,402.0,0
19.0,56.0,385.0,0
11.0,30.5,135.0,0
5.0,34.0,269.0,0
3.0,41.0,135.0,0
7.0,26.0,8.0,0
19.0,57.0,277.0,0
27.0,47.0,203.0,0
6.0,55.0,369.0,0
11.0,53.0,322.0,0
56.0,46.0,134.0,0
48.0,51.0,157.0,0
62.0,43.5,310.0,0
75.0,50.0,408.0,0
24.0,28.0,120.0,0
36.0,35.0,217.0,0
19.0,41.5,31.0,1
62.0,61.0,253.0,0
3.0,54.0,385.0,0
2.0,42.0,261.0,0
74.0,59.5,419.0,0
18.0,46.5,284.0,0
65.0,34.0,202.0,0
20.0,64.0,286.0,0
156.0,63.5,312.0,0
12.0,44.0,45.0,0
8.0,47.5,401.0,0
55.0,31.0,226.0,0
51.0,38.0,204.0,0
24.0,59.0,53.0,0
45.0,45.0,48.0,0
136.0,53.5,317.0,0
19.0,32.5,166.0,0
56.0,50.0,337.0,0
45.0,37.0,302.0,0
31.0,52.0,307.0,0
47.0,48.5,226.0,0
18.0,33.0,258.0,0
40.0,65.0,244.0,0
19.0,43.0,334.0,0
84.0,62.5,176.0,0
21.0,32.0,47.0,0
6.0,40.0,272.0,1
0.0,44.0,146.0,0
2.0,34.0,252.0,0
63.0,65.0,372.0,0
17.0,46.0,330.0,0
5.0,26.0,46.0,0
48.0,25.0,81.0,0
19.0,27.0,67.0,1
4.0,36.0,185.0,0
19.0,39.0,186.0,0
11.0,45.0,202.0,0
16.0,50.0,333.0,0
2.0,64.5,374.0,0
19.0,74.0,381.0,0
18.0,37.5,234.0,0
101.0,42.0,145.0,0
19.0,61.5,370.0,0
117.0,45.5,132.0,0
4.0,48.0,260.0,0
31.0,43.0,189.0,0
10.0,44.5,253.0,0
14.0,30.0,21.0,0
19.0,49.0,401.0,0
4.0,26.0,66.0,0
19.0,51.5,331.0,0
6.0,27.5,113.0,0
19.0,33.5,66.0,1
23.0,30.5,140.0,0
2.0,35.0,222.0,0
13.0,58.0,226.0,0
19.0,47.5,51.0,0
6.0,36.0,9.0,0
4.0,33.5,220.0,0
57.0,46.0,400.0,0
19.0,58.0,196.0,0
19.0,60.0,380.0,0
69.0,30.0,102.0,0
18.0,47.0,114.0,0
1.0,56.0,136.0,0
6.0,33.0,186.0,0
190.0,60.0,390.0,0
2.0,49.0,289.0,0
2.0,52.0,336.0,0
0.0,35.0,251.0,0
