PARTY_ID,ymon,Asset_Total_Bal,Ttl_asset,Ttl_asset_mavg6,Ttl_eqty_mavg6,Ttl_eqty_trnd_3_6,acct_M_sum,acct_bal_r,bkse_M_sum,bond_M_sum,chrem_M_sum,fix_bal_r,fund_M_sum,gini,gold_M_sum,insure_M_sum,liq_r,max_prod_type,pcntcm_acct_bal_mavg6,pcntcm_bondttl_bal_mavg6,pcntcm_chrem_bal_mavg6,pcntcm_dpsit_bal_mavg6,pcntcm_fund_bal_mavg6,pcntcm_gold_bal_mavg6,pcntcm_insure_bal_mavg6,pcntcm_trdpty_bal_mavg6,risktk_r,trans_bal_r,ttl_F_mavg6,ttl_F_trnd_3_6,ttl_M_mavg6,ttl_M_trnd_3_6
 20000013572976,201704.0,807778.4,1034547.21,958166.02167,950122.305,1.078947922,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4218550053,0.0,,0.0075681684,Insure_Invest_bal,0.2948276275,0.0,0.0,0.4420483529,0.0,0.2631240196,0.0,0.0,0.0,0.0075681684,0.1666666667,0.0,45000.0,0.0
 20000013652056,201704.0,145153.12,145153.12,147433.68667,147433.68667,0.9398750706,0.0,0.0012395187,0.0,0.0,0.0,0.9987604813,0.0,0.7130565155,0.0,,1.0,Chrem_ltkx_bal,0.3197117027,0.0,0.6782710401000001,0.0,0.0020172572,0.0,0.0,0.0,1.0,0.9987604813,1.5,0.6666666667,114333.33333,0.7842565598
 20000013798583,201704.0,310102.77,310102.77,302725.47833,302725.47833,1.0400888678,0.0,0.3444949557,7001.0,0.0,0.0,0.6555050443,0.0,0.2603657987,0.0,,0.0161060004,Insure_Invest_bal,0.0850159889,0.0,0.4159018232,0.4990821879,0.0,0.0,0.0,0.0,0.3481707912,0.0105575645,0.5,0.6666666667,17833.333333,0.1308411215
 20000013859688,201704.0,1348646.39,1365709.26,719483.59833,716590.65833,1.5696335794,0.0,0.1214094362,0.0,0.0,0.0,0.8785905638,0.0,0.7672783495,0.0,,1.0,Curr_Dpsit_Bal,0.5921193409,0.0,0.0,0.0,0.4078806591,0.0,0.0,0.0,1.0,0.8785905638,0.6666666667,1.0,244458.33333,1.9089824442
 20000013923567,201704.0,138860.65,138860.65,134072.81,134072.81,1.0014952075,0.0,0.9417642795,0.0,0.0,0.0,0.0582357205,0.0,0.8903113573,0.0,,1.0,Trdpty_Presv_Mgmt_Acct_Bal,0.0776611355,0.0,0.0,0.0,0.9223388645,0.0,0.0,0.0,1.0,0.0582357205,2.1666666667,1.2307692308,90833.333333,1.4128440367
 20000013955625,201704.0,398540.93,395216.4,427067.69833,427067.69833,0.9270819393,0.0,0.5464760066,0.0,0.0,0.0,0.4535239934,0.0,0.2658664231,0.0,,0.1073427088,Fund_Stock_Bal,0.2953782482,0.0,0.3724270154,0.0,0.0907099939,0.2352170624,0.0062676801,0.0,0.5744412387,0.0486824939,1.1666666667,1.4285714286,29166.666667,1.4285714286
 20000013961022,201704.0,9255.75,7716.06,24419.231667,24419.231667,0.3425588261,0.0,0.000732239,0.0,0.0,0.0,0.999267761,0.0,0.8411139333,0.0,,1.0,Curr_Dpsit_Bal,0.9997730614,0.0,0.0,0.0,0.0002269386,0.0,0.0,0.0,1.0,0.999267761,0.1666666667,0.0,3761.6666667,0.0
 20000013961943,201704.0,707232.6,123366.68,218267.20833,216239.465,0.8510220062,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6254722956,0.0,,0.2166917522,Time_Dpsit_Bal,0.6916998168,0.0,0.3083001832,0.0,0.0,0.0,0.0,0.0,0.0,0.2166917522,0.3333333333,0.0,16666.666667,0.0
 20000013980588,201704.0,403667.24,403667.24,413977.705,413977.705,0.9692866753,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9819954484,0.0,,0.0090848096,Chrem_oth_bal,0.0659722444,0.0,0.9340277556,0.0,0.0,0.0,0.0,0.0,0.0,0.0090848096,0.3333333333,0.0,66666.666667,0.0
 20000014167557,201704.0,686706.35,686805.57,683150.84833,683133.66167,1.118420371,0.0,0.5591483609,0.0,0.0,0.0,0.4408516391,0.0,0.2679789834,0.0,,0.6934967877,Curr_Dpsit_Bal,0.3500039061,0.0,0.0,0.0,0.3503192593,0.0,0.2996768346,0.0,0.805375017,0.3057291956,1.5,0.4444444444,21893.75,0.3604681701
 20000014282191,201704.0,276321.67,156321.67,149630.93,149630.93,1.020960105,0.0,0.1087093043,0.0,50002.0,0.0,0.8912906957,0.0,0.6119008187,0.0,,0.1387233224,Chrem_oth_bal,0.2719829962,0.0,0.7250756345,0.0,0.0029413693,0.0,0.0,0.0,0.1240467987,0.1236428065,1.3333333333,1.0,40000.0,1.0
 20000014283442,201704.0,490642.08,490206.84,490245.985,490245.985,0.9999737173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5849004054,0.0,,0.0002713548,Time_Dpsit_Bal,0.5648443029,0.0,0.3739619272,0.0611937699,0.0,0.0,0.0,0.0,0.0,0.0002713548,0.3333333333,2.0,16666.666667,2.0
 20000014345922,201704.0,90.77,90.77,363613.68333,363613.68333,0.0981845614,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,Curr_Dpsit_Bal,0.0346897928,0.0,0.9653102072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,33333.333333,0.0
 20000014379400,201704.0,479009.45,479009.45,575990.15833,575784.15833,0.9336953478,0.0,0.9898363514,0.0,0.0,0.0,0.0101636486,0.0,0.9784380338,0.0,,1.0,Fund_Mix_Bal,0.1744383618,0.0,0.0,0.0,0.8255616382,0.0,0.0,0.0,1.0,0.0101636486,0.6666666667,1.5,69050.0,1.9517258026
 20000014393325,201704.0,340738.05,321629.14,274500.94667,271801.215,1.0984981677,0.0,0.0365861022,0.0,0.0,0.0,0.9634138978,0.0,0.8164195673,0.0,,0.0459976948,Chrem_oth_bal,0.0639666505,0.0,0.9044600236,0.0,0.0315733259,0.0,0.0,0.0,0.0382825882,0.0443148184,1.5,0.8888888889,86666.666667,1.1153846154
 20000014401709,201704.0,4022715.49,4383573.48,4318485.5667,4318485.5667,1.0086319134,0.0,0.0897068102,0.0,0.0,0.0,0.9102931898,0.0,0.7106708543,0.0,,0.000503757,Chrem_oth_bal,0.0003788202,0.0,0.9120683282,0.0,0.0,0.0,0.0,0.0875528516,0.0897479656,0.0004585666,1.0,0.6666666667,765000.0,0.954248366
 20000014604742,201704.0,1121498.75,1121498.75,1007585.9033,1007585.9033,1.0371025437,0.0,0.0,0.0,400002.0,0.0,1.0,0.0,0.4503103498,0.0,,0.0548362181,Chrem_oth_bal,0.4541408349,0.0,0.5458591651,0.0,0.0,0.0,0.0,0.0,0.0,0.0548362181,0.3333333333,2.0,66666.666667,2.0
 20000014620441,201704.0,16031.32,16031.32,12275.346667,11858.305,1.3118018694,0.0,0.6492369462,0.0,0.0,0.0,0.3507630538,0.0,0.5136457612,0.0,,1.0,Trdpty_Presv_Mgmt_Acct_Bal,0.2898494627,0.0,0.0,0.0,0.7101505373,0.0,0.0,0.0,1.0,0.3507630538,1.1666666667,0.0,91166.666667,0.0
 20000014647099,201704.0,600020.32,600020.32,500111.095,500077.76167,1.1999459737,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9999322713,0.0,,3.38655e-05,Insure_Invest_bal,0.0001554991,0.0,0.0,0.9998445009,0.0,0.0,0.0,0.0,0.0,3.38655e-05,0.1666666667,2.0,33333.333333,2.0
 20000014648632,201704.0,423262.61,423262.61,432074.34833,432074.34833,0.9812081685,0.0,0.0484869665,0.0,0.0,0.0,0.9515130335,0.0,0.6014135252,0.0,,0.2156833782,Time_Dpsit_Bal,0.9198486747,0.0,0.0,0.0,0.0801513253,0.0,0.0,0.0,0.061007203,0.2052255454,0.1666666667,0.0,8333.3333333,0.0
 20000014743483,201704.0,180140.13,180140.13,172998.67833,172998.67833,1.0253568122,0.0,0.0052128307,0.0,0.0,0.0,0.9947871693,0.0,0.6513806911,0.0,,0.218754752,Time_Dpsit_Bal,0.9787103769,0.0,0.0,0.0,0.0212896231,0.0,0.0,0.0,0.0066627387,0.2176144205,0.1666666667,2.0,83.333333333,2.0
 20000014764723,201704.0,48212.96,48212.96,74050.22,70750.22,0.7445609356,0.0,0.0198973748,0.0,0.0,0.0,0.9801026252,0.0,0.8386306986,10.19,,1.0,Curr_Dpsit_Bal,0.6913195935,0.0,0.0,0.0,0.3086804065,0.0,0.0,0.0,1.0,0.9801026252,0.3333333333,2.0,1.365,2.0
 20000014809246,201704.0,211666.4,11666.4,8269.815,7196.9183333,1.3393964222,0.0,0.0377224365,0.0,0.0,0.0,0.9622775635,0.0,0.8478333686,0.0,,1.0,Curr_Dpsit_Bal,0.8294128668,0.0,0.0,0.0,0.1705871332,0.0,0.0,0.0,1.0,0.9622775635,1.8333333333,0.9090909091,9050.0,0.9208103131
 20000014839647,201704.0,270433.96,270433.96,265401.92167,265401.92167,1.0103271608,0.0,0.0026132813,0.0,0.0,0.0,0.9973867187,0.0,0.4987897603,0.0,,0.1472867182,Insure_Invest_bal,0.1118896131,0.0,0.2072328627,0.6782166416,0.0026608825,0.0,0.0,0.0,0.0030632831,0.1469018166,0.6666666667,1.0,16666.666667,1.0
 20000014925069,201704.0,72188.83,72188.83,38492.21,38492.21,1.4730853334,0.0,0.1372525362,10001.0,0.0,0.0,0.8627474638,0.0,0.4331631829,0.0,,0.0065305914,Insure_Invest_bal,0.6199871556,0.0,0.0,0.3800128444,0.0,0.0,0.0,0.0,0.1380302332,0.0056342512,0.3333333333,2.0,8666.6666667,2.0
 20000014962606,201704.0,48829.26,48829.26,47771.528333,47771.528333,1.0154103297,0.0,0.9998644256,0.0,0.0,0.0,0.0001355744,0.0,0.7591046675,0.0,,1.0,Fund_Mix_Bal,0.0170486786,0.0,0.0,0.0,0.9829513214,0.0,0.0,0.0,1.0,0.0001355744,0.1666666667,2.0,683.33333333,2.0
 20000015010690,201704.0,333183.65,333183.65,285780.13,285731.02333,1.0766280227,0.0,0.5237888329,0.0,68002.0,0.0,0.4762111671,0.0,0.4303657941,0.0,,0.1932111746,Agent_Solid_Gold_Bal,0.0733373754,0.0,0.337146916,0.0,0.0,0.0,0.0,0.5895157085,0.5768658686,0.0920093189,1.0,0.6666666667,29666.666667,0.7640449438
 20000015053583,201704.0,496149.26,902149.26,903277.3,902821.81,0.9911673453,0.0,0.0013006079,0.0,0.0,0.0,0.9986993921,0.0,0.518206611,0.0,,0.3714749712,Insure_Invest_bal,0.0195517504,0.0,0.3522289742,0.6269232685,0.0012938083,0.0,2.198662e-06,0.0,0.0020677122,0.370991828,0.1666666667,2.0,0.6666666667,2.0
 20000015095929,201704.0,510602.1,512602.1,698601.54,680310.09333,0.7059820289,0.0,0.8818928106,450001.0,0.0,0.0,0.1181071894,0.0,0.7845179927,0.0,,1.0,Fund_Bond_Bal,0.3175549182,0.0,0.6817556137,0.0,0.0,0.0,0.0,0.0006894681,1.0,0.1181071894,0.1666666667,2.0,75000.0,2.0
 20000015171915,201704.0,939262.97,807896.81,1003352.125,1003352.125,0.7985858172,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6649942825,0.0,,0.1076966995,Time_Dpsit_Bal,0.9169450771,0.0,0.0332219691,0.0498329537,0.0,0.0,0.0,0.0,0.0,0.1076966995,0.3333333333,0.0,23000.0,0.0
 20000015207023,201704.0,5374.08,5374.08,3914.1866667,3914.1866667,1.3146383753,0.0,0.0033066125,0.0,0.0,0.0,0.9966933875,0.0,0.9934086424,0.0,,1.0,Curr_Dpsit_Bal,0.9954643621,0.0,0.0,0.0,0.0045356379,0.0,0.0,0.0,1.0,0.9966933875,0.3333333333,1.0,2333.3333333,1.4285714286
 20000015223540,201704.0,583777.64,503777.64,498104.675,498104.675,1.0032820043,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4976116972,0.0,,0.0273486533,Vouch_Tbond_Bal,0.1735338227,0.0,0.2241831331,0.0,0.0,0.6022830442,0.0,0.0,0.0,0.0273486533,0.3333333333,2.0,31666.666667,2.0
 20000015266433,201704.0,255646.05,255646.05,255641.48167,255391.48167,0.9886728211,0.0,0.0228363039,0.0,0.0,0.0,0.9771636961,0.0,0.538129334,0.0,,0.679377852,Curr_Dpsit_Bal,0.2267042919,0.0,0.4176594535,0.3132445901,0.0423916645,0.0,0.0,0.0,0.0679375649,0.6638633729,0.5,0.0,16366.666667,0.0
 20000015297374,201704.0,261301.61,261301.61,231904.26167,231904.26167,1.0921002839,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7793146292,0.0,,0.0099563489,Time_Dpsit_Bal,0.8706362713,0.0,0.0,0.0,0.0,0.1293637287,0.0,0.0,0.0,0.0099563489,0.1666666667,0.0,5000.0,0.0
 20000015446273,201704.0,50727.52,50727.52,80740.791667,80740.791667,0.6858762738,0.0,8.29924e-05,0.0,0.0,0.0,0.9999170076,0.0,0.9717255588,0.0,,0.0142599132,Chrem_oth_bal,0.2774712493,0.0,0.7224766085,0.0,5.21422e-05,0.0,0.0,0.0,8.41929e-05,0.0142587298,0.6666666667,1.0,25000.0,0.6666666667
 20000015584773,201704.0,339889.79,539889.79,501512.055,496458.72167,1.0266802477,0.0,1.9451296e-06,0.0,0.0,0.0,0.9999980549,0.0,0.3415196709,0.0,,0.2589968069,Insure_prot_bal,0.1889452588,0.0,0.0,0.8057064617,0.0053482795,0.0,0.0,0.0,2.6249931e-06,0.2589963031,1.1666666667,0.8571428571,65083.333333,0.2816901408
 20000015659082,201704.0,840268.34,931116.99,863313.62,863313.62,1.0286174758,0.0,0.7834028948,0.0,150002.0,0.0,0.2165971052,0.0,0.5364549244,0.0,,0.175822772,Agent_Solid_Gold_Bal,0.1489528919,0.0,0.0322252204,0.0,0.0,0.0,0.0,0.8188218876,0.8144181393,0.0380827034,0.3333333333,2.0,25000.0,2.0
 20000015687661,201704.0,36818.06,36818.06,61781.481667,61700.371667,0.6144215285,0.0,0.0757357375,0.0,0.0,0.0,0.9242642625,0.0,0.8562202031,0.0,,1.0,Curr_Dpsit_Bal,0.9740548564,0.0,0.0,0.0,0.0259451436,0.0,0.0,0.0,1.0,0.9242642625,1.1666666667,1.1428571429,8233.4216667,1.190292088
 20000015701758,201704.0,175899.74,175899.74,174282.35333,174282.35333,1.004686227,0.0,0.3107741376,0.0,0.0,0.0,0.6892258624000001,0.0,0.4932829873,0.0,,0.9093325217,Curr_Dpsit_Bal,0.6865679038,0.0,0.0,0.0,0.3134320962,0.0,0.0,0.0,0.8325842144,0.6267354915,0.1666666667,0.0,6666.6666667,0.0
 20000015743589,201704.0,334158.43,343628.8,358005.78,358005.78,0.9690411144,0.0,0.0782633179,0.0,0.0,0.0,0.9217366821,0.0,0.4820940789,0.0,,0.3261999208,Time_Dpsit_Bal,0.8612398195,0.0,0.0,0.0,0.1387601805,0.0,0.0,0.0,0.1119119247,0.3006704327,0.6666666667,1.0,30000.0,0.4444444444
 20000015783608,201704.0,106113.14,106113.14,139662.705,139001.065,0.7708387942,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9876072931,0.0,,1.0,Curr_Dpsit_Bal,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333,2.0,7836.1666667,2.0
 20000015868738,201704.0,110463.48,160463.48,138643.135,138643.135,1.1497191212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8780884115,0.0,,0.0652078591,Insure_Invest_bal,0.0623408797,0.0,0.0,0.9376591203,0.0,0.0,0.0,0.0,0.0,0.0652078591,0.1666666667,0.0,10000.0,0.0
 20000015901738,201704.0,43020.09,43020.09,68413.843333,68413.843333,1.1139413159,0.0,0.0090969126,0.0,0.0,0.0,0.9909030874,0.0,0.9819716824,0.0,,1.0,Curr_Dpsit_Bal,0.8527507079,0.0,0.0,0.0,0.1472492921,0.0,0.0,0.0,1.0,0.9909030874,22.333333333,0.9253731343,175053.98333,0.8932347441
