,y,six_cycle_mp_num,six_cycle_mp_avg_amt,epp_nbr_12m,epp_avg_amt_12m,alop_nbr_12m,alop_avg_amt_12m,six_bill_low_repay_num,consume_amt_session,consume_num_session
2264,0.0,1.0,6050.82,3.0,1297.8,0.0,0.0,1.0,2839.0,5.0
2265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29652.0,1.0
2266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9780.2,8.0
2267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,1.0
2268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4020.2,2.0
2269,0.0,0.0,0.0,0.0,0.0,2.0,20000.0,0.0,5700.31,13.0
2270,0.0,1.0,25954.6,1.0,2162.88,0.0,0.0,0.0,15.0,1.0
2271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,1.0
2272,0.0,0.0,0.0,1.0,766.73,1.0,250.0,2.0,0.0,0.0
2273,0.0,0.0,0.0,9.0,2122.83,0.0,0.0,4.0,2015.0,1.0
2274,0.0,0.0,0.0,3.0,1006.63,0.0,0.0,1.0,4518.9,1.0
2275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2276,0.0,0.0,0.0,0.0,0.0,6.0,1166.67,0.0,4393.3,21.0
2277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1605.9,6.0
2278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8360.0,2.0
2279,0.0,0.0,0.0,0.0,0.0,7.0,3250.0,1.0,3940.0,3.0
2280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1218.0,1.0
2281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30000.0,2.0
2282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.55,8.0
2283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2417.88,7.0
2284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16566.27,85.0
2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19471.0,2.0
2286,0.0,0.0,0.0,0.0,0.0,1.0,1666.67,4.0,0.0,0.0
2287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3740.5,6.0
2288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2298.22,23.0
2289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5686.93,3.0
2290,0.0,0.0,0.0,0.0,0.0,1.0,4500.0,2.0,5000.0,1.0
2291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4353.0,3.0
2292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7883.0,2.0
2293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0
2294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,590.35,12.0
2295,0.0,0.0,0.0,2.0,546.13,0.0,0.0,2.0,2367.55,33.0
2296,0.0,0.0,0.0,6.0,2130.0,0.0,0.0,0.0,16631.0,6.0
2297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10208.0,1.0
2298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19800.0,1.0
2299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8102.0,1.0
2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
2302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10778.0,2.0
2303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1100.0,1.0
2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5031.97,83.0
2305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,202.86,3.0
2306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17843.0,6.0
