var_name,split_list,sub_total_sample_num,positive_sample_num,negative_sample_num,sub_total_num_percentage,positive_rate_in_sub_total,woe_list,iv_list,iv
age,"(-INF,28.0]",2107,482.0,1625.0,0.2809333333333333,0.22876127195064072,0.17932979380690944,0.009523718980426218,0.014491164872402726
age,"(28.0,29.0]",448,89.0,359.0,0.05973333333333333,0.19866071428571427,-3.654512300924278e-05,7.97757724353786e-11,0.014491164872402726
age,"(29.0,30.0]",442,84.0,358.0,0.05893333333333333,0.19004524886877827,-0.055066647821726274,0.00017574511213080206,0.014491164872402726
age,"(30.0,31.0]",453,81.0,372.0,0.0604,0.17880794701986755,-0.12979510526098834,0.0009779246093838344,0.014491164872402726
age,"(31.0,32.0]",376,75.0,301.0,0.050133333333333335,0.19946808510638298,0.005027478483769178,1.2690676382308116e-06,0.014491164872402726
age,"(32.0,+INF)",3674,679.0,2995.0,0.4898666666666667,0.18481219379422972,-0.0894296405146921,0.003812507023047867,0.014491164872402726
xaccount_age,"(-INF,5.0]",1558,313.0,1245.0,0.20773333333333333,0.20089858793324775,0.013961249398578502,4.06610564941713e-05,0.012411695151056647
xaccount_age,"(5.0,7.0]",726,158.0,568.0,0.0968,0.21763085399449036,0.11512269975043336,0.001327499135857467,0.012411695151056647
xaccount_age,"(7.0,10.0]",911,194.0,717.0,0.12146666666666667,0.21295279912184412,0.08743132304723682,0.0009530213583176598,0.012411695151056647
xaccount_age,"(10.0,15.0]",1299,275.0,1024.0,0.1732,0.21170130869899922,0.07994818663691879,0.0011337542973793864,0.012411695151056647
xaccount_age,"(15.0,57.0]",1832,348.0,1484.0,0.24426666666666666,0.18995633187772926,-0.055645095392264976,0.0007436799813468789,0.012411695151056647
xaccount_age,"(57.0,69.0]",432,62.0,370.0,0.0576,0.14351851851851852,-0.39171864937173867,0.007816068433250258,0.012411695151056647
xaccount_age,"(69.0,+INF)",742,140.0,602.0,0.09893333333333333,0.18867924528301888,-0.0639658459372521,0.0003970108884108258,0.012411695151056647
cred_limit,"(-INF,3000.0]",956,138.0,818.0,0.12746666666666667,0.14435146443514643,-0.3849594204677566,0.016741496019531774,0.037361300054622355
cred_limit,"(3000.0,11500.0]",1897,334.0,1563.0,0.25293333333333334,0.17606747496046388,-0.14857247343339947,0.005334558758700034,0.037361300054622355
cred_limit,"(11500.0,19500.0]",967,201.0,766.0,0.12893333333333334,0.2078593588417787,0.056771733872252726,0.00042267330267080664,0.037361300054622355
cred_limit,"(19500.0,20000.0]",512,117.0,395.0,0.06826666666666667,0.228515625,0.17793740002234737,0.0022775536542302298,0.037361300054622355
cred_limit,"(20000.0,28500.0]",695,142.0,553.0,0.09266666666666666,0.20431654676258992,0.03511820806196863,0.00011549510333504808,0.037361300054622355
cred_limit,"(28500.0,48500.0]",1179,249.0,930.0,0.1572,0.21119592875318066,0.0769172329866238,0.000951623693081707,0.037361300054622355
cred_limit,"(48500.0,55000.0]",468,119.0,349.0,0.0624,0.25427350427350426,0.3187007533017217,0.00694638210166172,0.037361300054622355
cred_limit,"(55000.0,96500.0]",430,94.0,336.0,0.05733333333333333,0.2186046511627907,0.12083301710676639,0.0008676386801068494,0.037361300054622355
cred_limit,"(96500.0,+INF)",396,96.0,300.0,0.0528,0.24242424242424243,0.25521505373423,0.0037038787413041824,0.037361300054622355
this_bill_rate,"(-INF,0.02837716068]",795,31.0,764.0,0.106,0.0389937106918239,-1.8099288611804207,0.19242447757082426,0.4117258794968444
this_bill_rate,"(0.02837716068,0.0809579]",705,56.0,649.0,0.094,0.07943262411347518,-1.055430765749694,0.07430522386762427,0.4117258794968444
this_bill_rate,"(0.0809579,0.1509245332]",730,117.0,613.0,0.09733333333333333,0.16027397260273973,-0.261541680980341,0.006139202350135439,0.4117258794968444
this_bill_rate,"(0.1509245332,0.33758568656]",1266,355.0,911.0,0.1688,0.2804107424960506,0.45222369272582896,0.039196210538497187,0.4117258794968444
this_bill_rate,"(0.33758568656,0.45]",558,190.0,368.0,0.0744,0.34050179211469533,0.7335900171578612,0.04862641614839374,0.4117258794968444
this_bill_rate,"(0.45,0.5409579999999999]",436,123.0,313.0,0.058133333333333335,0.28211009174311924,0.4606302869410455,0.014035643982581983,0.4117258794968444
this_bill_rate,"(0.5409579999999999,0.64527764896]",421,91.0,330.0,0.056133333333333334,0.2161520190023753,0.10641627651631054,0.0006560978600121157,0.4117258794968444
this_bill_rate,"(0.64527764896,0.7764949999999999]",474,110.0,364.0,0.0632,0.2320675105485232,0.19797576111068316,0.0026251249438102673,0.4117258794968444
this_bill_rate,"(0.7764949999999999,0.9437]",676,170.0,506.0,0.09013333333333333,0.2514792899408284,0.30391078695922674,0.009087236003068518,0.4117258794968444
this_bill_rate,"(0.9437,0.9958109934]",535,93.0,442.0,0.07133333333333333,0.17383177570093458,-0.16406091131077286,0.0018256592096602517,0.4117258794968444
this_bill_rate,"(0.9958109934,1.00978266658]",515,62.0,453.0,0.06866666666666667,0.1203883495145631,-0.5941077196967963,0.020059207865373928,0.4117258794968444
